month,new_signups,net_revenue,paying_customers,churned_customers,active_customers,churn_rate_pct
2025-01,16,228166.88,7,0,7,0.0
2025-02,17,283761.68,11,0,18,0.0
2025-03,22,580764.27,17,1,34,2.9
2025-04,17,667748.68,23,1,56,1.8
2025-05,23,783822.05,28,2,82,2.4
2025-06,22,823810.75,34,2,114,1.8
2025-07,22,1101450.29,36,3,147,2.0
2025-08,28,1245990.1,44,2,189,1.1
2025-09,29,1321890.62,51,8,232,3.4
2025-10,29,1448248.36,52,5,279,1.8
2025-11,40,1492344.0,54,7,326,2.1
2025-12,34,1634767.52,63,2,387,0.5
2026-01,43,1833131.26,75,7,455,1.5
2026-02,41,2040792.72,75,8,522,1.5
2026-03,39,2344099.58,82,12,592,2.0
