customer_id,cancel_date,reason
CUST0051,11-May-2025,switched_competitor
CUST0113,07/09/2025,
CUST0106,16-Mar-2026,too_expensive
CUST0049,11/09/2025,no_longer_needed
CUST0030,09-Mar-2026,missing_features
CUST0041,08/03/2026,
CUST0155,06-Jan-2026,switched_competitor
CUST0043,15/03/2026,missing_features
CUST0029,2026-01-06,
CUST0186,08-Aug-2025,missing_features
CUST0012,17/03/2026,too_expensive
CUST0111,10-Jan-2026,no_longer_needed
CUST0088,13-Mar-2026,no_longer_needed
CUST0044,2025-11-03,
CUST0151,2025-10-11,
CUST0078,09-May-2025,switched_competitor
CUST0169,16/09/2025,switched_competitor
CUST0101,2025-10-07,
CUST0009,06-Nov-2025,
CUST0122,2025-11-07,switched_competitor
CUST0180,12-Feb-2026,switched_competitor
CUST0025,19/03/2026,too_expensive
CUST0085,17-Feb-2026,no_longer_needed
CUST0147,20/10/2025,no_longer_needed
CUST0052,2026-01-09,missing_features
CUST0020,2026-03-12,
CUST0103,03-Feb-2026,missing_features
CUST0096,2025-09-01,
CUST0044,01/12/2025,no_longer_needed
CUST0046,08-Feb-2026,no_longer_needed
CUST0146,11-Oct-2025,
CUST0071,2025-03-26,too_expensive
CUST0200,25/03/2026,no_longer_needed
CUST0171,2026-03-10,missing_features
CUST0116,19-Nov-2025,switched_competitor
CUST0123,14-Jan-2026,too_expensive
CUST0168,2025-07-25,no_longer_needed
CUST0200,25-Sep-2025,
CUST0119,24/09/2025,too_expensive
CUST0104,26/07/2025,
CUST0052,19-Jan-2026,no_longer_needed
CUST0093,2025-04-03,
CUST0024,24/02/2026,no_longer_needed
CUST0060,16-Aug-2025,
CUST0108,08/09/2025,no_longer_needed
CUST0075,08-Nov-2025,
CUST0132,2025-07-21,no_longer_needed
CUST0007,2025-11-16,missing_features
CUST0157,2026-02-13,no_longer_needed
CUST0079,05-Sep-2025,too_expensive
CUST0102,2026-03-07,too_expensive
CUST0053,2026-01-13,missing_features
CUST0003,09/06/2025,switched_competitor
CUST0155,2025-06-23,
CUST0164,03-Mar-2026,no_longer_needed
CUST0015,15/12/2025,
CUST0099,03/11/2025,missing_features
CUST0099,15-Feb-2026,missing_features
CUST0119,15-Feb-2026,too_expensive
CUST0009,2025-10-26,missing_features
