transaction_id,date,customer_id,amount,status
TXN1395,04-Oct-2025,CUST0127,10298.36,paid
TXN1073,04-Apr-2025,CUST0039,8720.28,paid
TXN1167,15/07/2025,CUST0099,40437.88,paid
TXN1077,09-May-2025,CUST0026,15662.7,paid
TXN1009,17/02/2025,CUST0006,40091.83,paid
TXN1847,23/03/2026,CUST0194,10310.6,paid
TXN1176,14/07/2025,CUST0023,41967.46,paid
TXN1321,2025-09-22,CUST0099,24406.86,paid
TXN1505,01-Dec-2025,CUST0052,27250.99,paid
TXN1302,2025-09-20,CUST0046,25933.06,paid
TXN1556,2025-12-23,CUST0137,42977.05,paid
TXN1802,23-Mar-2026,CUST0038,41645.18,paid
TXN1506,03-Dec-2025,CUST0126,16281.31,failed
TXN1564,19/01/2026,CUST0140,44388.24,paid
TXN1607,21/01/2026,CUST0178,45550.64,paid
TXN1323,2025-09-10,CUST0043,14460.94,paid
TXN1658,2026-02-26,CUST0161,25634.05,paid
TXN1020,18/02/2025,CUST0028,15218.11,paid
TXN1070,2025-04-09,CUST0048,14640.0,paid
TXN1254,2025-08-02,CUST0074,9408.9,paid
TXN1758,09/03/2026,CUST0169,13587.43,paid
TXN1199,09/07/2025,CUST0094,9918.79,paid
TXN1529,03-Dec-2025,CUST0074,43882.22,paid
TXN1190,26-Jul-2025,CUST0019,22797.78,paid
TXN1782,08-Mar-2026,CUST0157,10351.41,paid
TXN1515,04/12/2025,CUST0022,8766.91,paid
TXN1309,02-Sep-2025,CUST0081,-41055.46,refunded
TXN1341,11-Oct-2025,CUST0112,15856.98,paid
TXN1587,2026-01-20,CUST0162,26134.86,paid
TXN1082,2025-05-26,CUST0070,40866.13,paid
TXN1376,2025-10-19,CUST0031,26370.97,paid
TXN1182,11/07/2025,CUST0008,13587.91,paid
TXN1444,15-Nov-2025,CUST0035,13564.06,paid
TXN1856,2026-03-11,CUST0101,46048.34,paid
TXN1612,19/01/2026,CUST0039,26386.19,paid
TXN1823,2026-03-09,CUST0055,27333.6,paid
TXN1811,2026-03-08,CUST0100,38549.18,paid
TXN1745,25/02/2026,CUST0052,23333.14,paid
TXN1652,2026-01-14,CUST0147,16175.47,paid
TXN1248,2025-08-06,CUST0096,25772.17,paid
TXN1374,2025-10-20,CUST0106,27458.99,paid
TXN1629,2026-01-04,CUST0012,-14464.77,refunded
TXN1105,15/05/2025,CUST0018,-10194.49,refunded
TXN1481,2025-12-26,CUST0052,43034.73,paid
TXN1817,17/03/2026,CUST0077,9102.34,paid
TXN1409,2025-11-04,CUST0148,-26836.84,refunded
TXN1397,19-Oct-2025,CUST0072,24954.03,failed
TXN1209,03/07/2025,CUST0061,44887.66,paid
TXN1274,2025-09-04,CUST0036,10167.37,paid
TXN1244,10-Aug-2025,CUST0005,27034.56,paid
TXN1064,05-Apr-2025,CUST0016,45602.55,paid
TXN1233,20-Aug-2025,CUST0071,39291.7,paid
TXN1853,2026-03-08,CUST0036,15759.62,paid
TXN1260,11/08/2025,CUST0116,45258.98,failed
TXN1262,24-Aug-2025,CUST0022,14133.57,paid
TXN1820,24-Mar-2026,CUST0005,24277.29,paid
TXN1715,2026-02-07,CUST0186,23358.87,paid
TXN1110,2025-05-02,CUST0032,42389.37,failed
TXN1498,2025-12-14,CUST0082,15468.7,paid
TXN1488,04/12/2025,CUST0060,9105.74,paid
TXN1194,08/07/2025,CUST0017,14635.15,paid
TXN1491,2025-12-10,CUST0089,24949.66,paid
TXN1280,27/09/2025,CUST0113,14949.24,paid
TXN1671,07-Feb-2026,CUST0166,8591.87,paid
TXN1225,12/08/2025,CUST0036,9191.95,paid
TXN1338,07-Oct-2025,CUST0061,45792.94,paid
TXN1575,2026-01-13,CUST0122,41455.6,paid
TXN1066,2025-04-24,CUST0022,22768.48,paid
TXN1293,16/09/2025,CUST0028,15965.52,paid
TXN1255,16/08/2025,CUST0052,8795.87,paid
TXN1206,10-Jul-2025,CUST0071,23687.74,paid
TXN1569,25/01/2026,CUST0100,15482.64,paid
TXN1748,04-Feb-2026,CUST0122,23866.82,paid
TXN1178,08/07/2025,CUST0008,24994.46,paid
TXN1109,19/05/2025,CUST0070,9058.99,paid
TXN1346,18/10/2025,CUST0039,25217.35,failed
TXN1599,2026-01-21,CUST0066,24174.84,paid
TXN1124,06/06/2025,CUST0026,41634.75,failed
TXN1137,2025-06-20,CUST0031,15743.53,paid
TXN1151,2025-06-08,CUST0006,8633.67,paid
TXN1249,14/08/2025,CUST0109,24358.41,paid
TXN1106,13-May-2025,CUST0057,41236.73,paid
TXN1563,18/01/2026,CUST0054,16421.68,paid
TXN1080,20/05/2025,CUST0041,14937.03,paid
TXN1257,11-Aug-2025,CUST0032,13553.75,paid
TXN1322,24/09/2025,CUST0115,22623.53,paid
TXN1439,08/11/2025,CUST0150,40525.91,paid
TXN1545,01/12/2025,CUST0124,45401.63,paid
TXN1724,2026-02-06,CUST0153,9241.05,paid
TXN1690,05-Feb-2026,CUST0086,8822.91,paid
TXN1483,2025-12-27,CUST0079,22568.67,paid
TXN1075,08/04/2025,CUST0020,15555.95,paid
TXN1078,05-May-2025,CUST0049,22533.84,paid
TXN1457,2025-11-24,CUST0133,10135.47,paid
TXN1285,06/09/2025,CUST0072,9977.72,paid
TXN1081,23/05/2025,CUST0049,45929.21,paid
TXN1212,2025-08-19,CUST0011,8837.15,paid
