date,signups,source,notes
08-Mar-2025,1,referral,duplicate_entry
26/01/2026,1,,
16/01/2026,1,paid_ads,
2026-03-11,1,organic,
2025-12-04,1,referral,
2025-01-09,1,referral,
24-Feb-2025,1,waitlist,
2025-10-01,1,referral,
10/02/2026,1,waitlist,
09-Jan-2026,1,paid_ads,
13/07/2025,1,waitlist,
17-Mar-2026,1,organic,
2025-09-01,1,paid_ads,
16-Mar-2026,1,,duplicate_entry
04-Jan-2025,1,,
14-Aug-2025,1,paid_ads,
18/12/2025,1,,
2026-03-14,1,waitlist,
2025-06-08,1,referral,
19-Feb-2026,1,,
23/10/2025,1,paid_ads,
2025-09-08,1,,
2026-03-17,1,waitlist,
18/12/2025,1,,
2025-04-21,1,organic,
27/05/2025,1,,
20/01/2025,1,organic,
12-Jun-2025,1,paid_ads,
04-Mar-2025,1,waitlist,
07/10/2025,1,,
2026-02-04,1,waitlist,
21/03/2026,1,referral,
03-Feb-2026,1,referral,duplicate_entry
21/02/2026,1,referral,
01-Feb-2025,1,organic,
21-Dec-2025,1,organic,
26-Jun-2025,1,organic,
2025-08-22,1,organic,
2025-05-13,1,paid_ads,
18-Aug-2025,1,referral,
13/06/2025,1,paid_ads,
11-Mar-2026,1,referral,
04/03/2026,1,referral,
25/03/2026,1,,
24/02/2026,1,referral,
2026-02-06,1,,
24-Feb-2025,1,paid_ads,
14/09/2025,1,,
05/02/2026,1,referral,
2025-01-13,1,paid_ads,
06/03/2025,1,,
25-Mar-2026,1,referral,
2025-03-14,1,,
13-Jan-2026,1,,
09-Mar-2025,1,waitlist,
25/10/2025,1,,
22/03/2026,1,waitlist,
2025-12-09,1,paid_ads,
20/07/2025,1,waitlist,
08-May-2025,1,organic,
08/03/2026,1,,
08-Dec-2025,1,waitlist,
13/02/2025,1,referral,
2025-10-25,1,waitlist,
22/12/2025,1,,
01-Oct-2025,1,,
08/03/2025,1,waitlist,
2025-10-03,1,referral,
10/10/2025,1,waitlist,
03-Jul-2025,1,paid_ads,
15/07/2025,1,waitlist,
16/03/2026,1,,duplicate_entry
23/02/2026,1,waitlist,
2025-10-20,1,,
08-Nov-2025,1,referral,
10-Nov-2025,1,,
2025-08-23,1,organic,
2026-02-17,1,waitlist,
2025-01-01,1,waitlist,
12/02/2026,1,referral,
2026-01-21,1,organic,
10-Oct-2025,1,waitlist,
20-Oct-2025,1,,
22/01/2026,1,paid_ads,
27-Oct-2025,1,,
08-Jan-2025,1,,duplicate_entry
27-Dec-2025,1,paid_ads,
2026-01-18,1,,
2026-03-06,1,,
10-Nov-2025,1,paid_ads,
17/11/2025,1,organic,
17-Jan-2026,1,waitlist,
22/06/2025,1,referral,
18/11/2025,1,paid_ads,
08-Dec-2025,1,paid_ads,
2025-11-24,1,waitlist,
02/06/2025,1,referral,
05/08/2025,1,organic,
2025-08-23,1,referral,
27-Nov-2025,1,waitlist,
2025-12-09,1,paid_ads,
04/01/2026,1,paid_ads,
2025-11-02,1,,
2025-03-27,1,,
2025-04-22,1,waitlist,
17-Feb-2026,1,referral,
26-Sep-2025,1,paid_ads,
2025-06-01,1,paid_ads,
27-Mar-2026,1,,duplicate_entry
2025-02-11,1,referral,
2026-02-04,1,waitlist,
2025-09-14,1,,
19/11/2025,1,paid_ads,duplicate_entry
10/06/2025,1,referral,
2025-11-10,1,waitlist,
2025-12-21,1,waitlist,
23/10/2025,1,paid_ads,
13/02/2025,1,,
24/03/2026,1,referral,
22-Nov-2025,1,referral,
